fn,unit,signal,hint,pinobj,comments
hw,-,-,rt106x,seekfree_art,
led,1,-,-,AD_B0_09,
key,1,-,-,WAKEUP,
pin,-,C23,-,B1_07,
pin,-,C22,-,B1_06,
pin,-,C21,-,B1_05,
pin,-,C20,-,B1_04,
pin,-,D27,-,EMC_41,
adc,-,B14,1,AD_B0_14,
adc,-,B15,1,AD_B0_15,
adc,-,B21,1,AD_B1_05,
adc,-,B23,1,AD_B1_07,
pwm,-,CH1,f1.a0,SD_B0_00,
pwm,-,CH2,f1.b0,SD_B0_01,
pwm,-,CH3,f1.a1,SD_B0_02,
pwm,-,CH4,f1.b1,SD_B0_03,
pwm,-,CH5,f2.a1,B0_08,
pwm,-,CH6,f2.b1,B0_09,
pwm,-,CH6,f1.a3,AD_B0_10
pwm,-,CH6,f1.b3,AD_B0_11
uart,1,TXD,-,AD_B0_06,
uart,1,RXD,-,AD_B0_07,

i2c,1,SDA,B17,AD_B1_01,
i2c,1,SCL,B16,AD_B1_00,


